algorithm,normalized_frequency,run_id,actual_f_drift,f_conv,n_conv,rms_tracking_error,p_in_band,mean_rms_tracking_error,std_rms_tracking_error,sem_rms_tracking_error,mean_p_in_band,std_p_in_band,n_runs,drift_amplitude,seed,phase,burn_in_epochs
Bayesian/TUrBO,0.25,13,0.041666666666666664,0.16666666666666666,6,0.026955997446829572,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,71904,3.9821437060228257,12
Bayesian/TUrBO,0.25,14,0.041666666666666664,0.16666666666666666,6,0.02702020225849639,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,325630,1.6790627895796784,12
Bayesian/TUrBO,0.25,15,0.041666666666666664,0.16666666666666666,6,0.026960370077009625,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,28261,2.1309758251970914,12
Bayesian/TUrBO,0.25,16,0.041666666666666664,0.16666666666666666,6,0.02701067261151696,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,445543,2.1210078207148597,12
Bayesian/TUrBO,0.25,17,0.041666666666666664,0.16666666666666666,6,0.026993854724449363,0.5714285714285714,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,157639,5.708452752544079,12
Bayesian/TUrBO,0.25,18,0.041666666666666664,0.16666666666666666,6,0.02692225963938292,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,324640,4.043431055417822,12
Bayesian/TUrBO,0.25,19,0.041666666666666664,0.16666666666666666,6,0.026972704123274346,0.5714285714285714,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,712635,6.073889017319536,12
Bayesian/TUrBO,0.25,20,0.041666666666666664,0.16666666666666666,6,0.027023797862602738,0.5892857142857143,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,624635,5.858004122084523,12
Bayesian/TUrBO,0.25,21,0.041666666666666664,0.16666666666666666,6,0.02694211717669313,0.5654761904761905,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,844614,4.541774157720331,12
Bayesian/TUrBO,0.25,22,0.041666666666666664,0.16666666666666666,6,0.027021911286325313,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,892471,2.7540876130235548,12
Bayesian/TUrBO,0.25,23,0.041666666666666664,0.16666666666666666,6,0.026977697908694233,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,388092,2.5498263156550616,12
Bayesian/TUrBO,0.25,24,0.041666666666666664,0.16666666666666666,6,0.026990690472172937,0.5892857142857143,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,808836,3.5214396752557304,12
Bayesian/TUrBO,0.25,25,0.041666666666666664,0.16666666666666666,6,0.026910357161115533,0.5595238095238095,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,432017,1.8317111487137268,12
Bayesian/TUrBO,0.25,26,0.041666666666666664,0.16666666666666666,6,0.026970676992968644,0.5654761904761905,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,414007,4.452581539924803,12
Bayesian/TUrBO,0.25,27,0.041666666666666664,0.16666666666666666,6,0.027007964153543854,0.5595238095238095,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,290078,6.2798505313967,12
Bayesian/TUrBO,0.25,28,0.041666666666666664,0.16666666666666666,6,0.026947519398020422,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,38388,6.175000127549256,12
Bayesian/TUrBO,0.25,29,0.041666666666666664,0.16666666666666666,6,0.0269762882470591,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,862554,4.317604376734927,12
